Año,Evaluación,Nivel,Grado,UGEL,Gestión,Area,Característica,Ubigeo,Región,Provincia,Distrito,Centro Poblado,Código Modular,Anexo,Nombre de la IE,Sección,Area Academica,Estudiantes programados,Puntaje Promedio,Secciones evaluadas,Cantidad Previo al inicio,Cantidad En inicio,Cantidad En proceso,Cantidad Satisfactorio
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,SAN PEDRO DE CHUPARO,283366,0,54184,B,Matemática,25,349,1,6,5,,1
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,SAN PEDRO DE CHUPARO,283366,0,54184,A,Lectura,25,458,1,1,6,2,3
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,SAN PEDRO DE CHUPARO,283366,0,54184,A,Matemática,25,429,1,4,3,2,3
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,SAN PEDRO DE CHUPARO,283366,0,54184,B,Lectura,25,391,1,2,8,2,
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,CHALLHUANI,283382,0,54186,A,Lectura,17,412,1,3,9,2,2
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30602,APURÍMAC,CHINCHEROS,ANCO HUALLO,CHALLHUANI,283382,0,54186,A,Matemática,17,361,1,7,5,4,
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30607,APURÍMAC,CHINCHEROS,URANMARCA,URANMARCA,283408,0,54188,A,Lectura,11,474,1,1,3,3,3
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30607,APURÍMAC,CHINCHEROS,URANMARCA,URANMARCA,283408,0,54188,A,Matemática,11,431,1,4,,3,3
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30607,APURÍMAC,CHINCHEROS,URANMARCA,HUANCANE,283416,0,54189,A,Matemática,20,415,1,4,7,8,1
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30607,APURÍMAC,CHINCHEROS,URANMARCA,HUANCANE,283416,0,54189,A,Lectura,20,457,1,1,7,10,2
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30214,APURÍMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,SAN MIGUEL DE CHACCRAMPA,283440,0,54192,A,Lectura,13,419,1,2,7,4,
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30214,APURÍMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,SAN MIGUEL DE CHACCRAMPA,283440,0,54192,A,Matemática,13,385,1,7,2,4,
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30605,APURÍMAC,CHINCHEROS,OCOBAMBA,OCOBAMBA,283481,0,54196,A,Matemática,49,455,1,2,4,5,3
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30605,APURÍMAC,CHINCHEROS,OCOBAMBA,OCOBAMBA,283481,0,54196,C,Matemática,49,430,1,4,4,5,3
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30605,APURÍMAC,CHINCHEROS,OCOBAMBA,OCOBAMBA,283481,0,54196,A,Lectura,49,462,1,2,4,4,4
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30605,APURÍMAC,CHINCHEROS,OCOBAMBA,OCOBAMBA,283481,0,54196,C,Lectura,49,473,1,2,5,4,5
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30605,APURÍMAC,CHINCHEROS,OCOBAMBA,OCOBAMBA,283481,0,54196,B,Lectura,49,503,1,1,3,5,9
2024,ECE 2024,Primaria,CUARTO,UGEL Chincheros,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30605,APURÍMAC,CHINCHEROS,OCOBAMBA,OCOBAMBA,283481,0,54196,B,Matemática,49,520,1,3,,6,9
